cd_corrida,is_carga_alta_carregamento_1,is_carga_alta_carregamento_2,qt_segundos_duracao_parada_carregamento_1,qt_segundos_duracao_parada_carregamento_2,is_carga_alta,qt_segundos_parada_carga_alta
N9655,0,0,0,0,0,0
N9807,0,0,0,0,0,0
N9863,0,0,0,0,0,0
N9866,0,0,0,0,0,0
O0110,0,0,0,0,0,0
O0591,0,0,0,0,0,0
O0622,0,0,0,0,0,0
O0814,0,0,0,0,0,0
O1029,0,0,0,0,0,0
O1451,0,0,0,0,0,0
O1523,0,0,0,0,0,0
O1648,0,0,0,0,0,0
O1714,0,1,0,82,1,82
O2125,0,0,0,0,0,0
O2264,0,0,0,0,0,0
O2563,0,0,0,0,0,0
O3608,0,0,0,0,0,0
O3843,0,0,0,0,0,0
O3973,0,0,0,0,0,0
O4262,0,0,0,0,0,0
O4278,0,0,0,0,0,0
O4315,0,0,0,0,0,0
O4612,0,1,0,91,1,91
O4671,0,0,0,0,0,0
O4726,0,0,0,0,0,0
O4744,0,0,0,0,0,0
O5069,0,0,0,0,0,0
O5551,0,0,0,0,0,0
O6002,0,1,0,124,1,124
O6432,0,0,0,0,0,0
O6642,0,0,0,0,0,0
O6657,0,0,0,0,0,0
O6707,0,0,0,0,0,0
O6834,0,0,0,0,0,0
O6847,0,0,0,0,0,0
O6863,0,0,0,0,0,0
O6898,0,0,0,0,0,0
N9176,0,0,0,0,0,0
N9517,0,0,0,0,0,0
N9802,0,0,0,0,0,0
N9842,0,0,0,0,0,0
O0623,0,0,0,0,0,0
O0668,0,1,0,632,1,632
O0767,0,1,0,102,1,102
O0805,0,0,0,0,0,0
O0985,0,1,0,283,1,283
O1034,0,1,0,117,1,117
O1196,0,0,0,0,0,0
O1220,0,0,0,0,0,0
O1246,0,0,0,0,0,0
O1361,0,0,0,0,0,0
O1686,0,0,0,0,0,0
O1735,0,0,0,0,0,0
O2392,0,0,0,0,0,0
O2706,0,0,0,0,0,0
O3346,0,0,0,0,0,0
O3468,0,0,0,0,0,0
O3780,0,0,0,0,0,0
O4279,0,0,0,0,0,0
O4365,0,0,0,0,0,0
O4578,0,0,0,0,0,0
O4834,1,0,338,0,1,338
O4890,1,0,428,0,1,428
O5215,0,1,0,304,1,304
O6081,1,0,414,0,1,414
O6206,0,0,0,0,0,0
O6221,0,0,0,0,0,0
O6343,0,0,0,0,0,0
O6350,0,0,0,0,0,0
O6414,0,0,0,0,0,0
O6426,0,0,0,0,0,0
O6574,0,0,0,0,0,0
O6703,1,0,219,0,1,219
O6736,1,0,38,0,1,38
O6823,0,0,0,0,0,0
O7158,0,0,0,0,0,0
N9158,0,0,0,0,0,0
N9236,1,1,351,231,1,582
N9545,0,0,0,0,0,0
N9688,0,0,0,0,0,0
N9756,0,1,0,392,1,392
O0696,1,0,366,0,1,366
O0779,1,1,210,134,1,344
O1206,0,0,0,0,0,0
O1407,0,0,0,0,0,0
O1482,0,0,0,0,0,0
O1660,0,0,0,0,0,0
O1991,0,0,0,0,0,0
O2259,0,0,0,0,0,0
O2585,0,0,0,0,0,0
O2649,0,0,0,0,0,0
O2758,0,0,0,0,0,0
O2883,1,0,299,0,1,299
O3379,0,1,0,248,1,248
O3585,0,0,0,0,0,0
O3609,0,0,0,0,0,0
O3786,0,0,0,0,0,0
O3900,1,0,300,0,1,300
O4427,0,0,0,0,0,0
O4521,0,0,0,0,0,0
O4627,0,0,0,0,0,0
O4705,1,0,224,0,1,224
O4800,0,1,0,104,1,104
O5352,1,0,122,0,1,122
O5634,0,0,0,0,0,0
O5695,1,0,51,0,1,51
